video_id,num_frames,duration_sec,caption
R91FQZ02F08_000064_000074,150,10.01,"A person is climbing a wooden structure with a rope attached to a rope ladder, navigating through a river with a rope ladder."
S6MlxS0bKHw_000004_000014,150,10.03814495081309,"A man in a white helmet and dark jacket is climbing a steep rock face, using a rope to ascend."
SFJ-vHJZkMQ_000044_000054,250,10.0,"A person is climbing a steep rock face, wearing a harness and climbing gear, with a clear blue sky in the background."
SoiBpG6DAnw_000231_000241,260,10.0,"Two people are climbing a rocky hill, with one person holding onto a rope and the other person holding onto a rope attached to the person climbing."
THKEnD9PB6E_000375_000385,300,10.01,"A person is seen on a boat, wearing a yellow jacket and black pants, with a rope attached to their feet, preparing to climb up a rope ladder."
TI7DfPMNBPM_000021_000031,300,10.0,"A person is climbing a tree in a forest, using ropes to ascend."
V_ZreFO2Ijo_000004_000014,300,10.0,"A person is climbing a rocky cliff, using a rope to ascend."
WVTRUmNU8rA_000214_000224,250,10.0,"A person wearing a red shirt and black pants is climbing a rock face, using a rope to ascend."
WqqxS_nNIrU_000001_000011,114,10.03167898627244,"A person is seen climbing a steep rock face, using a rope to ascend."
E4YPUYEU7es_000214_000224,250,10.0,"A group of people are performing a dance routine on a stage, with a man in a white shirt and black pants leading the group."
E7vQVICQRrw_000131_000141,300,10.01,"A group of people are on a stage in a room with blue chairs and a table, singing and dancing."
EISn9JfVmrY_000000_000010,250,10.0,Two individuals in bright yellow shirts are engaged in a dance routine in a spacious room with wooden floors and a staircase in the background.
EiqqUosL1LE_000661_000671,290,10.022810534319486,"A person in a yellow outfit is performing a dance in front of a colorful backdrop, with a large statue of a deity in the background."
FCAjof-NZmY_000741_000751,300,10.01,"A classroom setting features a person in a black coat standing behind a table with a red object, possibly a toy, and a person in a colorful outfit standing in front of a screen displaying a video game."
FCFWYOgsF78_000128_000138,300,10.0,"A group of people are performing on a stage with a colorful mural in the background, engaging in a dance or performance."
FF-vVs3GWy8_000121_000131,300,10.01,"A group of children are gathered on a stage, engaged in a performance with a red tablecloth and a wooden bench."
FLDCvmWuT0Q_000000_000010,250,10.0,"A person is holding a white object in a dimly lit room, possibly a stage or a performance space, with a spotlight shining on them."
FTd3ONrMXlA_000001_000011,150,10.0,"A group of people are gathered on a stage, with a man in a black shirt and another in a red shirt standing in front of a microphone, possibly performing or giving a speech."
Fjnz-MvwyqU_000379_000389,247,9.88,"The video captures a lively scene on a stage where a group of people are dancing and interacting, with a man in a white shirt and black pants dancing energetically, while a woman in a yellow dress and a man in a black suit and hat are also present."
Fo-A0_uSRHQ_000003_000013,240,10.01,"A man in a suit is seated on a chair on a stage, while a woman in a black dress and a child in a white dress walk on the stage."
FxA9qDryB7g_000027_000037,300,10.0,"A group of people dressed in traditional Thai attire, including a man in a white shirt and a woman in a red sash, are seen in a park, possibly preparing for a cultural event or procession."
GahKt4JSH-8_000108_000118,250,10.0,"A woman is performing on stage in a dimly lit auditorium, holding a microphone and gesturing with her hands."
GdU0bxGoKno_000052_000062,270,9.0,A person in a red cape and a pink dress performs on a stage with a backdrop of a cityscape and a large screen displaying a cityscape.
c_7PzZv5Qko_000013_000023,300,10.01,"A group of children are gathered around a television set, watching a performance of a cartoon character."
dLB2tgUrY0c_000432_000442,113,10.039982230119946,"A woman in a white shirt and black skirt is walking through a room, passing a table with a white cloth on it, and then walking towards a group of people sitting at a table."
dOQORZDtuzU_000086_000096,250,10.0,"A group of people are dancing in a room with a colorful mural on the wall, creating a lively and energetic atmosphere."
dTb5_RVKp4E_000313_000323,250,10.0,"A woman in a black outfit is standing on a stage with a man in a white shirt and dark pants, holding a microphone."
dUAtlDPYcUs_000097_000107,250,10.0,"A man in a blue shirt and jeans walks across a stage, with the text ""Spectacle de l'atelier ados 2"" (Spectacle of the workshop ado 2) appearing on the screen."
X-L7fQ74Axc_000029_000039,150,10.004668845461214,"A person wearing a blue jacket and a yellow harness is climbing a steep rock face, using a rope to ascend."
X2lR3M0b464_000110_000120,300,10.0,"A person is climbing a steep rock face with a rope, wearing a red helmet and red and white climbing gear, while a group of people watch from the safety of a bridge."
YGzKZAnQgWc_000003_000013,300,10.01,"A group of people are climbing a large rock face, with one person wearing a helmet and another wearing a red helmet, while others are climbing on a smaller rock."
Z6le_Mpszts_000013_000023,250,10.0,"A person is climbing a tall, curved structure, possibly a bridge or a tall building, with a bright light source in the background, creating a dramatic and intense scene."
Z95k8t-jou0_000040_000050,300,10.01,"Two people are paragliding over a lush, green forest, with one person wearing a helmet and the other wearing a blue shirt."
ZokeMiSV3ME_000035_000045,300,10.01,"A person wearing a helmet and a life jacket is climbing a steep, rocky cliff, using a rope to ascend."
dWpVkjJ1RRQ_000008_000018,270,9.0,"Two men are climbing a rocky mountain using ropes and climbing gear, with a mountainous landscape in the background."
hY_WBLs6ShA_000016_000026,150,10.0,"A man wearing a red shirt and a blue cap climbs a steep rock face, using a rope to assist his ascent."
ixq5OGYjjmA_000154_000164,250,10.0,"A person is climbing a steep rock face, wearing a helmet and harness, and using a rope to ascend."
j2_AKSjeQy0_000001_000011,250,10.0,"A person is seen climbing a tall building, with a cityscape in the background, and the person is wearing a black jacket and a backpack."
jtFqDcawPfM_000024_000034,300,10.0,"A person wearing a red outfit and a harness is climbing a tall building, using a rope to ascend."
lgQhfUvVM_Y_000105_000115,300,10.01,"A person is climbing a steep rock face with a rope attached to their harness, using a rope to ascend the rock face."
mEia4faVIQc_000110_000120,250,10.0,"A young boy and a man are climbing a rocky mountain, with the man holding a rope and the boy using a rope to assist."
m_I0_mOGtvI_000425_000435,300,10.0,"A person is seen from the back, standing in front of a large, curved, white structure with a dome-like roof, possibly a building or a dome."
p76-UdadD7w_000047_000057,250,10.0,"A man and a woman are on a rope course, performing a series of maneuvers and stunts, including a jump and a flip."
puCUSdrgnVE_000001_000011,150,10.0,"The video captures a series of aerial views of a tall, cylindrical building with multiple windows, likely a castle or fortress, set against a clear sky. The perspective shifts from a low angle to a high angle, showcasing the building's height and the surrounding area."
qIDD1oaEjAY_000075_000085,250,10.0,"A group of people are climbing a tall building, wearing helmets and safety gear, with a rope attached to the building, and a person in a white shirt and blue shorts climbing up the side of the building."
qPrj_BOLUwo_000066_000076,250,10.0,"A man and a woman are climbing a steep rock face in a mountainous area, with the man wearing a red helmet and the woman wearing a yellow helmet."
r7Rjl_uKU3U_000020_000030,300,10.0,"A person climbs a steep rock face, using a rope to ascend, with a tree and a cloudy sky in the background."
dUK1Pqf7Y2Y_000165_000175,299,10.018764240718403,"A group of people are gathered in a room, with one person kneeling on the floor and another standing nearby, possibly assisting or guiding them."
dVPkybsUSy4_000269_000279,300,10.01,"A young boy in a shiny silver outfit is sitting on a rooftop, surrounded by other people, possibly children, who are engaged in various activities."
dkJE6CP4tbU_000059_000069,250,10.0,"A man in a dark shirt and jeans performs a dance routine in a room with red seats, while a woman in a white shirt watches."
du_MYVikaEI_000036_000046,300,10.01,"A group of people are gathered on a stage, with one person in a white suit and another in a white shirt and black pants, interacting with others."
e7_orsrtz8Q_000110_000120,300,10.01,"A group of people are gathered in a room, engaged in a lively conversation and sharing a meal."
eH7se-TMSas_003888_003898,250,10.0,"Two people are standing on a stage in a theater, engaged in a conversation."
eIYoI5aBnvQ_000185_000195,300,10.01,"A group of people, dressed in casual clothing, are gathered in a room with red curtains, engaging in a dance or performance."
ec4HplxiP8A_000193_000203,300,10.01,"A person in a pink dress is seen in a colorful, animated setting with a castle and a bird, performing a dance or movement."
eeAYs1_AJFo_000042_000052,300,10.0,"A man in a red blazer and light blue shirt is standing in a room with a woman in a floral shirt and a man in a white shirt, who are talking to each other."
egvwmu4VLqQ_000195_000205,240,10.0,"A group of people are performing a dance on a stage with blue lighting, with a man in a white shirt and another in a black shirt performing a dance."
f-VTFSj4NvQ_002598_002608,300,10.01,"A man in a police uniform stands on a stage, talking to a woman in a red dress, with a man in a police uniform sitting on a table in the background."
f15LtgeI5LM_000337_000347,300,10.01,"Two women are standing in a room with a whiteboard, one holding a pen and the other gesturing with her hand."
fFzFmz3Yc3s_000084_000094,290,10.0,"A woman in a colorful costume stands on a stage with two other people, one holding a cup, in front of a backdrop depicting a character with a blue face and a yellow dress."
fSs1DzmqD64_000455_000465,299,10.023144444444444,"A group of people gather in a room adorned with red balloons and a banner, where they are engaged in a formal event, possibly a wedding ceremony."
fVB6fhwZQvs_001159_001169,240,10.0,"A group of people are standing on a stage with a red backdrop, with one person holding a microphone and another person holding a camera, possibly filming the event."
fVMXG74ZViY_000547_000557,300,10.01,"A group of people, including children and adults, are gathered in a courtyard, possibly a park or a community space, with a red banner hanging from a pole."
fVUTooHZye0_000016_000026,300,10.01,"A group of people are dancing in a room with purple lighting, with a man in a suit and a woman in a pink dress dancing energetically."
fh6Wg4wWlIc_000269_000279,300,10.0,"A man and a woman are dancing energetically on a stage, surrounded by other people, with a large screen displaying a person in a costume behind them."
frlxWhpMycU_000814_000824,250,10.0,"A woman in a purple dress and a man in a white shirt are performing on stage, with a woman in a white shirt and a man in a black shirt standing nearby."
g4ts_b1cdos_000296_000306,300,10.0,A man in a light-colored shirt and dark pants performs a dance routine in a room with colorful walls and a wooden floor.
g9pPym4UXqw_000111_000121,226,9.04,"A group of people are gathered in a room with a bulletin board, engaging in a lively discussion or activity."
MOvGbpKryIM_000021_000031,300,10.01,The video shows a person using a device to transform a piece of paper into a reading glasses.
MWUpLAc9l0g_000082_000092,300,10.01,"A young girl with long dark hair and glasses is holding a baby in a white outfit with a pink bow, and the baby is wearing a purple outfit with a white polka dot pattern."
MmPM150ugS0_000751_000761,240,10.0,"A person is seen holding a small object, possibly a toy or a piece of equipment, and explaining its features to the camera."
